col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40
60.64507470235601,60.69952904859941,60.80614159039704,60.92202217638986,61.036932924871415,61.147512018051316,61.251280681698994,61.34596049108921,61.429207703084955,61.49852094768131,61.551213216801216,61.58441819073111,61.59511941622418,61.58019743370525,61.5364919794252,61.46087672474833,61.35034377224905,61.202094937831525,61.01363718255182,60.782880839915634,60.508241933347094,60.18875436210889,59.824204654528785,59.415312197737656,58.96399250585447,58.47376087816194,57.950354910329736,57.40263508903226,56.84357825464886,56.29062318288484,55.76442959313816,55.285692290160526,54.871084754953024,54.52990691509024,54.26256122344796,54.060980379872134,53.910837825201575,53.795261234173125,53.69923349745131,53.617351547421706,53.57578944915861
60.704213647388016,76.12103752505244,76.2901517791484,76.45963040431161,76.62632866506556,76.7863770662873,76.93661131974864,77.07389893654525,77.1949343710152,77.29614914099547,77.37368755376565,77.42342182207017,77.44099659175596,77.42189818360404,77.36154540099672,77.25539860278744,77.09908299638622,76.88852151112518,76.62007279591633,76.2906714324903,75.89797093549205,75.44049613397708,74.91782086482812,74.3308006831814,73.68191024250949,72.97576375051176,72.21993596951398,71.42625382063136,70.61268603051522,69.80495895107349,69.03520488361701,68.33661997420566,67.73570146460898,67.24679835680755,66.87011650182278,66.59252591831157,66.39070681507266,66.2368951690152,66.10653081916375,65.98187493656387,53.626157989283755
60.82489939132401,76.31028390592998,76.49729498577199,76.67612645117057,76.8489685101789,77.01435667319721,77.16986180388729,77.31264850543386,77.43952173287727,77.54693109802277,77.63098080327379,77.68745862684005,77.7118869995208,77.69959692789358,77.64582400106222,77.54582401659258,77.39500392886424,77.18906228663603,76.92413263631762,76.59692407856117,76.20485577365544,75.74618713682169,75.22015323241244,74.62712621627679,73.96884013655777,73.24874195193247,72.4725813848379,71.64947720505936,70.79429331384294,69.93321177690038,69.10803333639726,68.36503945255251,67.74030853431009,67.24933971968787,66.89101796318936,66.64905392308899,66.49029693292171,66.37453632587253,66.26682880357083,66.1445439017025,53.734260917011454
60.964278751587884,76.51339618003121,76.70981407183848,76.89794363318309,77.078903644333,77.2521056172988,77.41572079069441,77.56719948230527,77.70346346591656,77.82097259282932,77.9157626964913,77.98348628464026,78.01946944394074,78.01879106353476,77.97638643163828,77.8871737978234,77.74619909282863,77.54879093038407,77.29071587029803,76.96832330123395,76.57867062788219,76.1196228974372,75.5899265737447,74.98926486736035,74.31831219151854,73.57881977575072,72.77379025226462,71.90788592014071,70.98840797594596,70.03148130684298,69.09064434865938,68.26712142112028,67.60669664774932,67.11516589556244,66.78892682980367,66.6162308826552,66.552623839853,66.50981692423845,66.44260569218014,66.33784108861137,53.87275496532479
61.1121540320389,76.72728635728139,76.92995376254497,77.1262513694622,77.316260362911,77.49924061963601,77.67355657406642,77.8368210176598,77.98602583332826,78.1176111988027,78.22750748846018,78.3111768675584,78.363670528203,78.37971119532781,78.3538056651393,78.28038719169142,78.15398216260088,77.96939021918777,77.72186270304508,77.4072619119051,77.02218354383255,76.56402672796018,76.03099950515733,75.42205152144226,74.73672862697782,73.97494302648133,73.13663872438475,72.22125158776502,71.22666391445354,70.14301519020262,50.0,50.0,50.0,50.0,50.0,50.0,66.61990343961914,66.67498138138896,66.65677335228676,66.57553821616158,54.04376968579728
61.265205816974756,76.94814453497871,77.15630595705709,77.36051203682102,77.56034155003547,77.75480848506626,77.94225194244045,78.12032857295529,78.28604531034246,78.43578872235689,78.56534701474038,78.6699378749065,78.74425673894801,78.7825576481018,78.77877467386426,78.72668566891385,78.62011209072314,78.45314004200469,78.22034026065221,77.9169601380957,77.53905953403267,77.08356351376551,76.5482075292993,75.93135189139065,75.23164002385006,74.44746428568988,73.57616839783131,72.61280407793299,71.54767038760326,70.36081118620262,50.0,50.0,50.0,50.0,50.0,50.0,66.7777876808339,66.90754619028803,66.93280829707572,66.87306352771571,54.25631598729491
61.42100155599023,77.172871167246,77.3865021001281,77.59895030197073,77.80955488676233,78.01717832252778,78.22010756259976,78.41599824889794,78.60184585046268,78.77396665665792,78.92798387793486,79.05882668938646,79.16075683290649,79.22743907117254,79.25206901065768,79.22756418708812,79.14681231478106,79.00295656680994,78.78968531293341,78.50148613949247,78.13382228696813,77.68319222374748,77.14703658195637,76.52345768233965,75.8107126413674,75.00642903653312,74.10647183536031,73.10336209890336,71.98422257696726,70.72924870838621,50.0,50.0,50.0,50.0,50.0,50.0,67.06851240906268,67.23869040695503,67.29092695559459,67.24496092684059,54.51923964622539
61.57731492711997,77.39840661260277,77.61777455787762,77.83907550467836,78.06155971579459,78.28403705747459,78.5047892135465,78.72149241176338,78.9311487694421,79.13002161143449,79.31357542515838,79.47643015823401,79.61234849668287,79.71428064165441,79.77449091255721,79.78478137926429,79.73680923830389,79.62247081839428,79.43430359856902,79.16584573892695,78.8118926922058,78.36859839763665,77.83337695891477,77.20456376975612,76.48079095886918,75.66002193740519,74.73818018934453,73.70736211270787,72.55403408210879,71.25850416584052,50.0,50.0,50.0,50.0,50.0,50.0,67.50270863870168,67.68494127668771,67.74430631609312,67.70111342364532,54.83863777421729
61.73186266555412,77.62152986960137,77.8470068799069,78.07787776254798,78.31340158758334,78.55242604253637,78.79330281839161,79.03379485071659,79.27097547047761,79.50111839791745,79.71958160850093,79.92069736025371,80.09769370189215,80.24268598888939,80.34678331257716,80.40034560855104,80.39339803952701,80.31616626068337,80.15965615372964,79.91618239792507,79.57975758562273,79.14627667220746,78.61345172452933,77.98045779222403,77.24724460148114,76.41345857923015,75.47690557771348,74.43144776182281,73.26428964540493,71.95385180986874,50.0,50.0,50.0,50.0,50.0,50.0,68.08505103944977,68.25195432563267,68.29739482796248,68.24448331852686,55.21619273268411
61.882215168738874,77.83877289557358,78.07074239202733,78.31189900956697,78.56158603553293,78.81877513689882,79.08198028607039,79.34915097125636,79.61754216638819,79.8835577324494,80.14256736190572,80.38870756872244,80.61469706775132,80.81172457443883,80.96949115896722,81.07648788860968,81.12054427481388,81.08959985866346,80.97256878393141,80.76013211994848,80.44532252337598,80.02382982044757,79.4940030148134,78.85652636609092,78.11372358318634,77.26843208894095,76.32238755430413,75.27397180512865,74.11446802410455,72.82069370446342,50.0,50.0,50.0,50.0,50.0,50.0,68.81888478397282,68.9370056295739,68.94535709194855,68.87001246637571,55.648389911945586
